Age,Work class,Education,Level of education,Marital status,Occupation,Relationship,Race,Sex,Capital gain,Capital loss,Work hours per week,Native country,Annual income
39,State-gov,Bachelors,13,Never-married,Administrative / clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K
50,Unincorporated self employment,Bachelors,13,Married civilian spouse,Executive / managerial,Husband,White,Male,0,0,13,United-States,<=50K
38,Private,High school graduation,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Private,11th,7,Married civilian spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
28,Private,Bachelors,13,Married civilian spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K
37,Private,Masters,14,Married civilian spouse,Executive / managerial,Wife,White,Female,0,0,40,United-States,<=50K
49,Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,<=50K
52,Unincorporated self employment,High school graduation,9,Married civilian spouse,Executive / managerial,Husband,White,Male,0,0,45,United-States,>50K
31,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,>50K
42,Private,Bachelors,13,Married civilian spouse,Executive / managerial,Husband,White,Male,5178,0,40,United-States,>50K
37,Private,Some-college,10,Married civilian spouse,Executive / managerial,Husband,Black,Male,0,0,80,United-States,>50K
30,State-gov,Bachelors,13,Married civilian spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
23,Private,Bachelors,13,Never-married,Administrative / clerical,Own-child,White,Female,0,0,30,United-States,<=50K
32,Private,Academic association,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K
40,Private,Vocational association,11,Married civilian spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,?,>50K
34,Private,7th-8th,4,Married civilian spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K
25,Unincorporated self employment,High school graduation,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K
32,Private,High school graduation,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
38,Private,11th,7,Married civilian spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
43,Unincorporated self employment,Masters,14,Divorced,Executive / managerial,Unmarried,White,Female,0,0,45,United-States,>50K
40,Private,Doctorate,16,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
54,Private,High school graduation,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K
35,Federal-gov,9th,5,Married civilian spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K
43,Private,11th,7,Married civilian spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K
59,Private,High school graduation,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
56,Local-gov,Bachelors,13,Married civilian spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
19,Private,High school graduation,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
54,?,Some-college,10,Married civilian spouse,?,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50K
39,Private,High school graduation,9,Divorced,Executive / managerial,Not-in-family,White,Male,0,0,80,United-States,<=50K
49,Private,High school graduation,9,Married civilian spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Local-gov,Academic association,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,<=50K
20,Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,<=50K
45,Private,Bachelors,13,Divorced,Executive / managerial,Own-child,White,Male,0,1408,40,United-States,<=50K
30,Federal-gov,Some-college,10,Married civilian spouse,Administrative / clerical,Own-child,White,Male,0,0,40,United-States,<=50K
22,State-gov,Some-college,10,Married civilian spouse,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K
48,Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,<=50K
21,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,High school graduation,9,Married spouse in armed forces,Administrative / clerical,Wife,White,Female,0,0,25,United-States,<=50K
31,Private,Some-college,10,Married civilian spouse,Sales,Husband,White,Male,0,0,38,?,>50K
48,Unincorporated self employment,Academic association,12,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,9th,5,Married civilian spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K
53,Unincorporated self employment,Bachelors,13,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,Bachelors,13,Married civilian spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
49,Private,High school graduation,9,Separated,Administrative / clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
25,Private,High school graduation,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K
57,Federal-gov,Bachelors,13,Married civilian spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
53,Private,High school graduation,9,Married civilian spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
44,Private,Masters,14,Divorced,Executive / managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
41,State-gov,Vocational association,11,Married civilian spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,Vocational association,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K
25,Private,Some-college,10,Married civilian spouse,Executive / managerial,Wife,Other,Female,0,0,40,United-States,<=50K
18,Private,High school graduation,9,Never-married,Other-service,Own-child,White,Female,0,0,30,?,<=50K
47,Private,Professional school,15,Married civilian spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,>50K
50,Federal-gov,Bachelors,13,Divorced,Executive / managerial,Not-in-family,White,Male,0,0,55,United-States,>50K
47,Incorporated self employment,High school graduation,9,Divorced,Executive / managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
43,Private,Some-college,10,Married civilian spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
46,Private,5th-6th,3,Married civilian spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
35,Private,Vocational association,11,Married civilian spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
41,Private,High school graduation,9,Married civilian spouse,Administrative / clerical,Husband,White,Male,0,0,48,United-States,<=50K
30,Private,High school graduation,9,Married civilian spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K
30,Private,Bachelors,13,Married civilian spouse,Sales,Husband,White,Male,2407,0,40,United-States,<=50K
32,?,7th-8th,4,Married-spouse-absent,?,Not-in-family,White,Male,0,0,40,?,<=50K
48,Private,High school graduation,9,Married civilian spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,Doctorate,16,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
29,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50K
36,Private,High school graduation,9,Married civilian spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,Some-college,10,Divorced,Administrative / clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
53,Private,High school graduation,9,Married civilian spouse,Administrative / clerical,Wife,White,Female,0,0,40,United-States,>50K
49,Incorporated self employment,Some-college,10,Married civilian spouse,Executive / managerial,Husband,White,Male,0,0,50,United-States,>50K
25,?,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K
31,Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
29,Unincorporated self employment,Bachelors,13,Married civilian spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K
23,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
79,Private,Some-college,10,Married civilian spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,<=50K
27,Private,High school graduation,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,<=50K
40,Private,Academic association,12,Married civilian spouse,Administrative / clerical,Husband,White,Male,0,0,40,United-States,<=50K
67,?,10th,6,Married civilian spouse,?,Husband,White,Male,0,0,2,United-States,<=50K
18,Private,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K
31,Local-gov,7th-8th,4,Married civilian spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,High school graduation,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
52,Private,Bachelors,13,Married civilian spouse,Other-service,Husband,White,Male,0,0,40,Cuba,<=50K
46,Private,High school graduation,9,Married civilian spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
59,Private,High school graduation,9,Married civilian spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
44,Private,High school graduation,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,>50K
53,Private,High school graduation,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
49,Local-gov,High school graduation,9,Married civilian spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
33,Private,Masters,14,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
30,Private,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
57,Private,Vocational association,11,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
28,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,<=50K
30,Private,High school graduation,9,Married civilian spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,?,<=50K
34,Local-gov,Bachelors,13,Married civilian spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
